Step,0,1,2,3,4,5,6,7,,,,,,,,,,
85,7.38E-12,7.85E-12,6.64E-12,7.43E-12,8.27E-12,7.33E-12,1.65E-09,0.000183457,,,,,,,,,,
86,7.78E-12,7.75E-12,7.06E-12,7.46E-12,7.14E-12,6.71E-12,1.71E-09,0.000171664,,,,,,,,,,
87,6.16E-12,6.85E-12,8.31E-12,7.43E-12,7.34E-12,7.79E-12,1.21E-09,0.000165059,,,,,,,,,,
88,7.30E-12,6.76E-12,6.64E-12,7.68E-12,9.01E-12,7.69E-12,1.22E-09,0.000149157,,,,,,,,,,
89,7.13E-12,7.43E-12,7.40E-12,7.50E-12,6.13E-12,6.35E-12,1.08E-09,0.000153846,,,,,,,,,,
90,8.33E-12,7.26E-12,6.65E-12,8.30E-12,6.80E-12,7.74E-12,1.17E-09,0.000148805,,,,,,,,,,
91,7.53E-12,7.58E-12,7.04E-12,6.64E-12,8.19E-12,7.72E-12,1.01E-09,0.000129453,,,,,,,,,,
92,6.53E-12,7.39E-12,7.46E-12,6.68E-12,6.32E-12,7.73E-12,1.11E-09,0.00013773,,,,,,,,,,
93,6.27E-12,7.94E-12,6.60E-12,7.38E-12,7.36E-12,8.40E-12,1.09E-09,0.000131232,,,,,,,,,,
94,7.91E-12,6.81E-12,7.94E-12,8.29E-12,7.58E-12,7.56E-12,9.72E-10,21.60525131,,,,,,,,,,
95,6.00E-12,7.11E-12,6.57E-12,7.29E-12,6.34E-12,6.86E-12,8.58E-10,0.000128435,,,,,,,,,,
96,7.64E-12,6.71E-12,6.42E-12,6.61E-12,6.19E-12,6.63E-12,8.78E-10,0.000106356,,,,,,,,,,
97,6.61E-12,7.37E-12,6.42E-12,7.40E-12,7.73E-12,6.46E-12,7.75E-10,0.000113761,,,,,,,,,,
98,7.95E-12,7.76E-12,7.02E-12,7.21E-12,6.91E-12,6.57E-12,7.74E-10,0.000110633,,,,,,,,,,
99,6.52E-12,7.56E-12,6.42E-12,6.79E-12,7.35E-12,8.33E-12,7.60E-10,9.58639E-05,,,,,,,,,,
100,6.56E-12,7.60E-12,7.55E-12,6.89E-12,7.45E-12,8.34E-12,8.11E-10,9.74467E-05,,,,,,,,,,
101,5.47E-12,6.99E-12,6.76E-12,7.77E-12,7.26E-12,7.29E-12,6.17E-10,0.000100203,,,,,,,,,,
102,6.75E-12,7.04E-12,6.28E-12,6.84E-12,6.53E-12,7.25E-12,7.86E-10,9.55291E-05,,,,,,,,,,
103,8.10E-12,7.23E-12,6.33E-12,7.74E-12,6.39E-12,6.75E-12,7.75E-10,9.71191E-05,,,,,,,,,,
104,7.64E-12,8.82E-12,7.60E-12,7.02E-12,6.72E-12,6.23E-12,8.82E-10,9.59065E-05,,,,,,,,,,
105,7.29E-12,6.80E-12,7.07E-12,7.19E-12,7.27E-12,6.85E-12,6.99E-10,8.93765E-05,,,,,,,,,,
106,7.03E-12,6.44E-12,6.93E-12,6.90E-12,6.47E-12,8.05E-12,8.06E-10,9.12429E-05,,,,,,,,,,
107,6.15E-12,7.32E-12,6.32E-12,7.32E-12,7.02E-12,7.19E-12,8.01E-10,8.23471E-05,,,,,,,,,,
108,6.38E-12,6.32E-12,7.52E-12,7.71E-12,7.45E-12,7.97E-12,7.81E-10,8.31698E-05,,,,,,,,,,
109,6.93E-12,8.40E-12,7.79E-12,6.37E-12,6.04E-12,6.13E-12,4.30E-10,7.25421E-05,,,,,,,,,,
110,6.86E-12,7.66E-12,6.40E-12,7.31E-12,6.86E-12,7.43E-12,4.35E-10,6.71263E-05,,,,,,,,,,
111,7.47E-12,7.18E-12,7.59E-12,6.12E-12,6.92E-12,6.18E-12,4.50E-10,7.2901E-05,,,,,,,,,,
112,6.62E-12,6.64E-12,8.56E-12,5.80E-12,8.86E-12,7.04E-12,4.30E-10,6.83867E-05,,,,,,,,,,
113,6.31E-12,6.29E-12,6.48E-12,6.22E-12,6.56E-12,6.63E-12,4.63E-10,6.59309E-05,,,,,,,,,,
114,5.72E-12,7.32E-12,6.51E-12,7.01E-12,7.82E-12,6.20E-12,5.17E-10,6.2033E-05,,,,,,,,,,
115,6.68E-12,6.27E-12,6.21E-12,7.05E-12,7.37E-12,6.34E-12,4.82E-10,6.46026E-05,,,,,,,,,,
116,6.79E-12,8.41E-12,7.09E-12,7.67E-12,6.60E-12,8.45E-12,4.87E-10,5.86695E-05,,,,,,,,,,
117,6.24E-12,7.53E-12,7.14E-12,7.33E-12,7.89E-12,7.28E-12,4.83E-10,6.12216E-05,,,,,,,,,,
